# Absorption Cross-sections (XS) & Absorbance
# Pure SO2
# Wavenumber range: 0-6200 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# XS in HITRAN-compatible units. Absorbance for path=1m in PNNL-compatible units. Definition in Eqs(7)-(9) of https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1      XS,cm**2/molecule   Absorbance,1/(ppm*m) (FORMAT F12.6,3X,E17.10,3X,E17.10)

  113.000000    7.7422726118E-22    2.2246932631E-02
  114.000000    6.8467755413E-22    1.9673778210E-02
  115.000000    6.0244520847E-22    1.7310883559E-02
  116.000000    5.9517605311E-22    1.7102008959E-02
  117.000000    4.7876451214E-22    1.3756996662E-02
  118.000000    4.1157999927E-22    1.1826492007E-02
  119.000000    3.5406350565E-22    1.0173791795E-02
  120.000000    3.2852195624E-22    9.4398714624E-03
  121.000000    2.7083034457E-22    7.7821393435E-03
  122.000000    2.4466738358E-22    7.0303631407E-03
  123.000000    2.2052827812E-22    6.3367411516E-03
  124.000000    1.9584210935E-22    5.6273996430E-03
  125.000000    1.7036121862E-22    4.8952222993E-03
  126.000000    1.8927766053E-22    5.4387743413E-03
  127.000000    1.3832593028E-22    3.9747084693E-03
  128.000000    1.2126607837E-22    3.4845043712E-03
  129.000000    1.0721844377E-22    3.0808544402E-03
  130.000000    9.7804135073E-23    2.8103402103E-03
  131.000000    8.1485655529E-23    2.3414389803E-03
  132.000000    6.8604249497E-23    1.9712998925E-03
  133.000000    6.3163931711E-23    1.8149757881E-03
  134.000000    5.5018549941E-23    1.5809233740E-03
  135.000000    5.2109585307E-23    1.4973361077E-03
  136.000000    7.0731798194E-23    2.0324336641E-03
  137.000000    4.1732828800E-23    1.1991665463E-03
  138.000000    3.6573776243E-23    1.0509244210E-03
  139.000000    3.4646790992E-23    9.9555371366E-04
  140.000000    2.9783974003E-23    8.5582373077E-04
  141.000000    2.7474111904E-23    7.8945129843E-04
  142.000000    2.4446609722E-23    7.0245793040E-04
  143.000000    2.3252840197E-23    6.6815571510E-04
  144.000000    2.1443705869E-23    6.1617137983E-04
  145.000000    2.5064488680E-23    7.2021229303E-04
  146.000000    3.4035975434E-23    9.7800231337E-04
  147.000000    1.7508842539E-23    5.0310556078E-04
  148.000000    1.6144752189E-23    4.6390928388E-04
  149.000000    1.5852700785E-23    4.5551737077E-04
  150.000000    1.4153229044E-23    4.0668412084E-04
  151.000000    1.2465010329E-23    3.5817421957E-04
  152.000000    1.2370600415E-23    3.5546141014E-04
  153.000000    1.1528278820E-23    3.3125782973E-04
  154.000000    1.1678409052E-23    3.3557172739E-04
  155.000000    1.5224607859E-23    4.3746951618E-04
  156.000000    1.4013745926E-23    4.0267616131E-04
  157.000000    1.0058095239E-23    2.8901303067E-04
  158.000000    9.3385063913E-24    2.6833609843E-04
  159.000000    1.0060999726E-23    2.8909648927E-04
  160.000000    8.1929267905E-24    2.3541859025E-04
  161.000000    7.9442704437E-24    2.2827360676E-04
  162.000000    7.3248689267E-24    2.1047549436E-04
  163.000000    7.8417621218E-24    2.2532809471E-04
  164.000000    7.7261764607E-24    2.2200681355E-04
  165.000000    1.6922292993E-23    4.8625142906E-04
  166.000000    7.7894023482E-24    2.2382356960E-04
