# Absorption Cross-sections (XS) & Absorbance
# [Non-airy] IAO model, high latitude, summer, H=0
# Wavenumber range: 0-4000 cm-1, T: 296 K, P: 1 atm, step: 1 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# XS in HITRAN-compatible units. Absorbance for path=1m in PNNL-compatible units. Definition in Eqs(7)-(9) of https://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1      XS,cm**2/molecule   Absorbance,1/(ppm*m) (FORMAT F12.6,3X,E17.10,3X,E17.10)

  112.000000    4.7921830058E-22    1.3770035987E-02
  113.000000    1.8223620350E-22    5.2364425090E-03
  114.000000    1.2906353804E-22    3.7085594629E-03
  115.000000    1.3039484617E-22    3.7468137634E-03
  116.000000    2.0516522178E-22    5.8952934054E-03
  117.000000    3.8169966877E-22    1.0967899533E-02
  118.000000    9.9886537941E-22    2.8701767449E-02
  119.000000    6.0025781702E-22    1.7248030244E-02
  120.000000    2.6607391100E-21    7.6454662213E-02
  121.000000    1.8415626410E-21    5.2916142411E-02
  122.000000    6.2845706666E-21    1.8058317919E-01
  123.000000    1.4714992199E-21    4.2282603124E-02
  124.000000    5.9671040706E-22    1.7146097654E-02
  125.000000    5.7102615241E-22    1.6408076776E-02
  126.000000    1.3830253732E-21    3.9740362873E-02
  127.000000    5.8832193724E-21    1.6905060257E-01
  128.000000    1.2685924280E-21    3.6452204279E-02
  129.000000    6.0344358893E-22    1.7339571393E-02
  130.000000    4.3091031997E-22    1.2381936596E-02
  131.000000    8.1850193611E-22    2.3519137525E-02
  132.000000    2.7971993513E-21    8.0375761285E-02
  133.000000    3.2606921664E-21    9.3693935352E-02
  134.000000    8.4365031035E-22    2.4241760216E-02
  135.000000    4.0612673292E-22    1.1669795834E-02
  136.000000    3.6118140819E-22    1.0378320241E-02
  137.000000    4.2056077953E-22    1.2084549070E-02
  138.000000    1.0643553611E-21    3.0583580819E-02
  139.000000    7.0092170702E-21    2.0140543711E-01
  140.000000    2.9678040337E-21    8.5277979361E-02
  141.000000    1.8383901032E-21    5.2824981536E-02
  142.000000    5.7679629442E-22    1.6573878172E-02
  143.000000    2.7935163988E-22    8.0269933964E-03
  144.000000    2.2385598654E-22    6.4323607568E-03
  145.000000    2.5436899881E-22    7.3091329430E-03
  146.000000    2.8849627753E-22    8.2897587986E-03
  147.000000    4.5487883562E-22    1.3070656794E-02
  148.000000    1.0498342677E-21    3.0166326348E-02
  149.000000    4.6998148984E-21    1.3504622049E-01
  150.000000    5.7136329160E-21    1.6417764258E-01
  151.000000    7.0778075867E-21    2.0337634239E-01
  152.000000    2.1051788613E-21    6.0490988437E-02
  153.000000    2.6609914397E-21    7.6461912748E-02
  154.000000    2.0446231454E-21    5.8750958086E-02
  155.000000    6.3508461592E-22    1.8248756371E-02
  156.000000    7.2799677790E-22    2.0918528817E-02
  157.000000    1.3748156561E-21    3.9504461823E-02
  158.000000    5.7190143427E-21    1.6433227449E-01
  159.000000    9.4292697900E-22    2.7094412751E-02
  160.000000    4.1709592355E-22    1.1984988616E-02
  161.000000    2.2115818309E-22    6.3548410740E-03
  162.000000    2.0041190396E-22    5.7587098122E-03
  163.000000    1.5678507643E-22    4.5051204056E-03
  164.000000    1.7214334140E-22    4.9464304747E-03
  165.000000    2.4420649207E-22    7.0171197134E-03
  166.000000    6.4716335971E-22    1.8595831465E-02
  167.000000    1.0506727636E-21    3.0190419998E-02
  168.000000    6.5277649780E-22    1.8757121452E-02
  169.000000    1.3401694512E-21    3.8508924951E-02
  170.000000    4.5829234872E-21    1.3168741942E-01
  171.000000    3.2569503687E-21    9.3586417152E-02
  172.000000    1.1363909327E-21    3.2653477591E-02
  173.000000    1.4529623840E-21    4.1749958820E-02
  174.000000    1.0559743682E-21    3.0342758268E-02
  175.000000    7.8745292499E-22    2.2626963749E-02
  176.000000    4.6110137173E-21    1.3249457449E-01
  177.000000    1.8370730264E-21    5.2787136163E-02
  178.000000    1.7674100218E-21    5.0785413610E-02
  179.000000    6.7863996260E-22    1.9500291821E-02
  180.000000    3.6460450863E-22    1.0476680876E-02
  181.000000    1.2652715308E-21    3.6356780390E-02
  182.000000    7.2872216748E-22    2.0939372429E-02
  183.000000    2.7131827662E-22    7.7961597636E-03
  184.000000    1.9931864704E-22    5.7272957633E-03
  185.000000    1.4650883318E-22    4.2098390293E-03
  186.000000    1.8504435971E-22    5.3171331090E-03
  187.000000    3.8865815180E-22    1.1167847160E-02
  188.000000    1.5393528047E-21    4.4232333138E-02
  189.000000    6.2817390014E-22    1.8050181307E-02
  190.000000    2.3140847784E-22    6.6493768365E-03
  191.000000    1.6787754471E-22    4.8238554940E-03
  192.000000    2.1000013251E-22    6.0342215195E-03
  193.000000    6.9255282728E-22    1.9900069223E-02
  194.000000    1.6371827970E-21    4.7043416339E-02
  195.000000    7.5974823403E-22    2.1830886907E-02
  196.000000    6.0035487511E-22    1.7250819147E-02
  197.000000    4.0264268066E-22    1.1569683787E-02
  198.000000    4.4597032169E-22    1.2814676258E-02
  199.000000    3.4623812733E-22    9.9489344786E-03
  200.000000    5.6430609827E-22    1.6214980253E-02
  201.000000    1.2526799845E-21    3.5994970238E-02
  202.000000    5.9836065823E-21    1.7193516581E-01
  203.000000    1.5262837061E-20    4.3856800824E-01
